"Count","Path","Sample"
"9","C:\Users\Owner\Projects\www\jenninexus\public_html\game\martiangames.php","                <img src=""/resources/images/gamedev/botborgs/Borgverse.png"" class=""d-block w-100"" alt=""Borgverse"">"
"9","C:\Users\Owner\Projects\www\jenninexus\public_html\game\purgatoryfell.php","                <img src=""/resources/images/gamedev/tankoff/tankoff-boxart.jpg"" class=""card-img-top"" alt=""Tank Off"" style=""height: 250px; object-fit: cover;"">"
"8","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\pdfs\jenninexus_cc4_2025.pdf","<</ArtBox[0.0 0.0 983.04 518.4]/Contents 99 0 R/CropBox[0.0 0.0 983.04 518.4]/LastModified(D:20250429211402-08'00')/MediaBox[0.0 0.0 983.04 518.4]/Parent 93 0 R/Resources<</ProcSet[/PDF/ImageC]/XObject<</Im0 101 0 R>>>>/Rotate 0/Type/Page/PieceInfo<</AdobePhotoshop<</LastModified(D:20250429211401-08'00')/Private 102 0 R>>>>>>"
"7","C:\Users\Owner\Projects\www\jenninexus\public_html\includes\head.php","<?php if (!defined('RES_ROOT')) define('RES_ROOT', '/resources'); ?>"
"7","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\css\main.css","  src: url(""/resources/fonts/Montserrat-VariableFont_wght.woff"") format(""woff""), url(""/resources/fonts/Montserrat-VariableFont_wght.ttf"") format(""truetype"");"
"3","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\playlists\README.md","  fetch('/resources/playlists/gamedev.yaml')"
"3","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\core-web-vitals.js","            '/resources/css/main.min.css',"
"3","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\patreon-auth-enhanced.js","                      src=""/resources/pdfs/jenninexus_cc4_2025.pdf"" "
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\video-filter.js"," * Location: src/assets/js/video-filter.js (dev) → public_html/resources/js/video-filter.min.js (prod)"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\tags.js"," * Location: src/assets/js/tags.js (dev) → public_html/resources/js/tags.min.js (prod)"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\tag-colors.js"," * Location: src/assets/js/tag-colors.js (dev) → public_html/resources/js/tag-colors.min.js (prod)"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\gaming-filter.js"," * Location: src/assets/js/gaming-filter.js (dev) → public_html/resources/js/gaming-filter.min.js (prod)"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\gamedev-filter.js"," * Location: src/assets/js/gamedev-filter.js (dev) → public_html/resources/js/gamedev-filter.min.js (prod)"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\youtube-grid.js","  const RESOURCE_BASE = (typeof window !== 'undefined' && window.RES_ROOT) ? window.RES_ROOT : '/resources';"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\diy-playlists.js","  const response = await fetch(`/resources/api/get-youtube.php?rss=${encodeURIComponent(DIY_RSS_FEED)}`);"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\pdfs\resume_jenninexus_2025.pdf","<</Type/Page/Parent 1 0 R/Contents 7 0 R/Resources 17 0 R/MediaBox[0 0 612 792]>>"
"2","C:\Users\Owner\Projects\www\jenninexus\public_html\diy.php","                $statsPath = __DIR__ . '/resources/playlists/social-stats.json';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\gaming-playlists.js","  const RESOURCE_BASE = (typeof window !== 'undefined' && window.RES_ROOT) ? window.RES_ROOT : '/resources';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\music-playlists.js","  const response = await fetch('/resources/playlists/playlist-ids.json');"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\blog\voice-acting-in-games.php","            $mdFile = '../resources/blog posts/voice-acting-in-games.md';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\blog\pax-west-gaming-con.php","            $mdFile = '../resources/blog posts/pax-west-gaming-con.md';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\youtube-playlist-loader.js","    secretsPath: '/resources/secrets.json',"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\blog\game-dev-in-2025.php","            $mdFile = '../resources/blog posts/game-dev-in-2025.md';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\blog\diy-beauty-trends-2025.php","            $mdFile = '../resources/blog posts/diy-beauty-trends-2025.md';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\blog\ai-tools-for-technical-artists.php","            $mdFile = '../resources/blog posts/ai-tools-for-technical-artists.md';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\resources\js\!bak\performance.js","        '/resources/css/main.min.css'"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\router.php","    $legacy = __DIR__ . '/resources/images/profilepix/jenni-pfp-ai.png';"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\robots.txt","Disallow: /resources/scss/"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\media.php","fetch('/resources/playlists/social-stats.json')"
"1","C:\Users\Owner\Projects\www\jenninexus\public_html\gaming.php","                <img src=""/resources/images/profilepix/steam-php.gif"" "
